EvtID,StaNM,TTime,Angle,Delta
1971,PGC,9.67253998111766,146.223015249586,31.3066544299053
1972,PGC,10.0771771140709,92.1207271500896,59.2475836458436
1973,PGC,8.97947220985972,141.748619775346,31.2047192218424
1974,PGC,8.97065091768391,54.5690553126642,48.8084712343516
1975,PGC,13.3886843645726,103.737302951431,79.6056953170634
1976,PGC,4.25106345811836,154.874829785781,9.58816683751764
1978,PGC,5.9511550838111,110.610417946643,30.025337272065
1979,PGC,5.61306879566013,125.262240603078,24.9853371347639
1980,PGC,6.41219576791438,136.388939494241,25.2015185273165
1981,PGC,3.7152320932402,140.475308196423,11.7752245997962
1982,PGC,3.60083863951232,126.806985396599,13.6901135242459
1984,PGC,3.88177551662956,145.703240380222,11.1679600146382
1985,PGC,15.8980865248515,101.270758176699,96.885244050244
1987,PGC,3.70486587156165,136.239507669053,12.6263992627899
1988,PGC,3.62315377052487,133.274339950185,12.7921046382562
1989,PGC,5.59700076418455,54.9031987724154,26.454697450429
1991,PGC,16.0089173501021,41.8103148957786,92.8589954443312
1993,PGC,3.62609380779728,137.020545788668,12.1061823868684
1994,PGC,13.3390874507479,41.8103148957786,75.0388897416657
1995,PGC,3.92978497172098,138.423187426025,13.1844307464448
1996,PGC,5.65385208613834,120.102013474135,26.4680329269315
1997,PGC,4.07624059709368,139.44497716111,13.5873837698826
1998,PGC,3.7268656571094,115.693242409873,15.6269010331411
1999,PGC,9.54137937743624,131.558320289857,39.827868707916
2002,PGC,3.85989840258576,136.211072304019,13.3562613194123
2004,PGC,17.4364707825447,104.314566778155,105.903956890048
2005,PGC,12.2254568987063,101.339960981528,72.5580864834194
2006,PGC,16.6810695909498,96.5376270528713,103.257124684937
2007,PGC,6.81403534855818,113.441842745785,34.9145837862499
2008,PGC,11.5915019731695,100.709162569061,68.4868441963996
2009,PGC,12.805587290672,94.0633214886921,77.5313506538747
2010,PGC,11.7819959839989,105.304306627734,68.6497648728941
2011,PGC,12.2517644041721,102.996631564861,72.3429213065966
2012,PGC,3.82162031806719,134.362774898106,13.5547324298922
2013,PGC,3.94122127499534,144.999912909173,11.5843346703586
2014,PGC,4.9559027005429,143.957159088521,15.8916703547344
2015,PGC,4.97017988658778,101.975681085851,24.1039199176621
2016,PGC,17.0443508843695,54.5690553126642,104.757357405784
2017,PGC,3.86546177522672,136.470055098095,13.3268157557112
2018,PGC,12.480577396866,105.09427317091,73.2617090357489
2019,PGC,7.14381516418315,101.869518311099,38.8722859841303
2022,PGC,8.59942657429429,156.466525125121,19.5406395831291
2023,PGC,8.59942657429429,156.466525125121,19.5406395831291
2024,PGC,12.6333193121958,108.632461016601,73.0407817599905
2025,PGC,5.9784851394065,92.5396868667691,31.5945759571629
2026,PGC,6.5066404675006,91.2809140522986,32.9688460474308
